dataset_id,method,family,claim_gate,boundary_shift,gate_pass,component_count,limiting_margin,components,n_definition,baseline_pass,unchanged_from_baseline,decision_change
heart_cell_atlas_subsampled,UMAP,graph,global_geometry_gate,-0.025,False,1,-0.121602087,global_rank_corr,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,PHATE,graph,global_geometry_gate,-0.025,True,1,0.1099083992,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,t-SNE,relational,global_geometry_gate,-0.025,True,1,0.07567036297,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,PaCMAP,relational,global_geometry_gate,-0.025,True,1,0.1378977729,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,PCA,factor,continuum_gate,-0.025,False,2,-0.07225717684,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,GLM-PCA,factor,continuum_gate,-0.025,False,2,-0.02931731892,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,scScope,deep,continuum_gate,-0.025,False,2,-0.2160982037,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,SAUCIE,deep,continuum_gate,-0.025,False,2,-0.1802322406,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,UMAP,graph,continuum_gate,-0.025,False,2,-0.1616502033,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,PHATE,graph,continuum_gate,-0.025,False,2,-0.1303694925,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,t-SNE,relational,continuum_gate,-0.025,False,2,-0.1965612168,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,PaCMAP,relational,continuum_gate,-0.025,False,2,-0.1032180749,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
