dataset_id,method,family,seed,metric,value,k,n_cells,n_pcs_reference,n_definition,threshold,relative_threshold_margin,dataset_label,metric_label,column_label,value_definition
heart_cell_atlas_subsampled,t-SNE,relational,0,local_retention,0.3881166667,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,0.2937222222,Heart atlas,Local,Heart atlas | Local,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,t-SNE,relational,0,trustworthiness,0.983373128,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,0.09263680883,Heart atlas,Trust,Heart atlas | Trust,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,t-SNE,relational,0,global_rank_corr,0.500670363,,8000,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.1126008066,Heart atlas,Global,Heart atlas | Global,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,t-SNE,relational,0,label_neighbor_recall,0.9617583333,15,8000,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.7486515152,Heart atlas,Same-label,Heart atlas | Same-label,run-level continuous diagnostic value; no binary aggregation
pbmc3k,PaCMAP,relational,0,local_retention,0.113646702,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.6211776598,PBMC3k,Local,PBMC3k | Local,run-level continuous diagnostic value; no binary aggregation
pbmc3k,PaCMAP,relational,0,trustworthiness,0.8644392323,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.03951196415,PBMC3k,Trust,PBMC3k | Trust,run-level continuous diagnostic value; no binary aggregation
pbmc3k,PaCMAP,relational,0,global_rank_corr,0.631109789,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.4024661978,PBMC3k,Global,PBMC3k | Global,run-level continuous diagnostic value; no binary aggregation
pbmc3k,PaCMAP,relational,0,label_neighbor_recall,0.9170836492,15,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.6674248168,PBMC3k,Same-label,PBMC3k | Same-label,run-level continuous diagnostic value; no binary aggregation
paul15,PaCMAP,relational,0,local_retention,0.1785836386,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.4047212047,Paul15,Local,Paul15 | Local,run-level continuous diagnostic value; no binary aggregation
paul15,PaCMAP,relational,0,trustworthiness,0.9181019498,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,0.02011327752,Paul15,Trust,Paul15 | Trust,run-level continuous diagnostic value; no binary aggregation
paul15,PaCMAP,relational,0,global_rank_corr,0.6832359127,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.5183020283,Paul15,Global,Paul15 | Global,run-level continuous diagnostic value; no binary aggregation
paul15,PaCMAP,relational,0,label_neighbor_recall,0.5375824176,15,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,-0.02257742258,Paul15,Same-label,Paul15 | Same-label,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PaCMAP,relational,0,local_retention,0.2312666667,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.2291111111,Heart atlas,Local,Heart atlas | Local,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PaCMAP,relational,0,trustworthiness,0.9666119489,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,0.0740132766,Heart atlas,Trust,Heart atlas | Trust,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PaCMAP,relational,0,global_rank_corr,0.5628977729,,8000,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.2508839398,Heart atlas,Global,Heart atlas | Global,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PaCMAP,relational,0,label_neighbor_recall,0.9498083333,15,8000,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.7269242424,Heart atlas,Same-label,Heart atlas | Same-label,run-level continuous diagnostic value; no binary aggregation
